Date,Time,InstanceName,User,MeasStat,MachStat,Snr,Voc,Isc,Pmax,Vpmax,Ipmax,Rs,Rsh,FF,Eff,Tdut,Gavg,LTI,Class,ClassBin
 2018-01-21, 00:25:48,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED533816,  38.3959,   9.3053, 274.1188,  31.113,   8.811,   0.4808, 451.3724,  76.7230,  16.8171,  24.5,1000.0,   0.0011,    3 - 2,    2
 2018-01-21, 00:26:27,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED533853,  38.4199,   9.3262, 275.0776,  31.122,   8.839,   0.4812, 717.0791,  76.7704,  16.8759,  24.5,1000.1,   0.0012,    3 - 2,    2
 2018-01-21, 00:26:58,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534198,  38.4094,   9.3433, 274.8561,  31.082,   8.843,   0.4839, 597.8592,  76.5891,  16.8623,  24.4, 999.7,   0.0011,    4 - 3,    3
 2018-01-21, 00:27:47,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534207,  38.3883,   9.3292, 274.7040,  31.099,   8.833,   0.4806, 844.2291,  76.7051,  16.8530,  24.4, 999.6,   0.0009,    3 - 2,    2
 2018-01-21, 00:29:02,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534002,  38.4584,   9.3091, 275.3004,  31.168,   8.833,   0.4810, 727.4378,  76.8966,  16.8896,  24.3, 999.9,   0.0011,    3 - 2,    2
 2018-01-21, 00:29:38,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534029,  38.3915,   9.3141, 274.6431,  31.095,   8.832,   0.4819, 585.1115,  76.8056,  16.8493,  24.3, 999.9,   0.0013,    3 - 2,    2
 2018-01-21, 00:30:10,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534030,  38.4486,   9.3080, 274.6022,  31.144,   8.817,   0.4830, 561.8752,  76.7300,  16.8468,  24.3,1000.0,   0.0011,    3 - 2,    2
 2018-01-21, 00:30:41,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534177,  38.3950,   9.3615, 274.9129,  31.114,   8.836,   0.4791, 290.4990,  76.4849,  16.8658,  24.4, 999.7,   0.0013,    3 - 2,    2
 2018-01-21, 00:31:21,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED533828,  38.4379,   9.3159, 275.1298,  31.166,   8.828,   0.4787, 746.2565,  76.8343,  16.8791,  24.3,1000.1,   0.0015,    3 - 2,    2
 2018-01-21, 00:32:00,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534043,  38.4797,   9.3174, 275.9280,  31.204,   8.843,   0.4784,1569.1043,  76.9605,  16.9281,  24.4, 999.8,   0.0011,    4 - 3,    3
 2018-01-21, 00:32:31,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534185,  38.3822,   9.3366, 274.7330,  31.107,   8.832,   0.4785, 492.8982,  76.6645,  16.8548,  24.2,1000.2,   0.0013,    3 - 2,    2
 2018-01-21, 00:33:02,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED533845,  38.3477,   9.3371, 275.0585,  31.125,   8.837,   0.4720, 624.4868,  76.8201,  16.8748,  24.3, 999.8,   0.0012,    3 - 2,    2
 2018-01-21, 00:33:34,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED533866,  38.3649,   9.3231, 275.1364,  31.161,   8.829,   0.4710, 651.2232,  76.9223,  16.8795,  25.0, 999.7,   0.0012,    3 - 2,    2
 2018-01-21, 00:34:05,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534066,  38.3828,   9.3328, 275.5101,  31.157,   8.843,   0.4711, 876.4956,  76.9114,  16.9025,  25.1,1000.0,   0.0012,    4 - 3,    3
 2018-01-21, 00:35:11,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534226,  38.3807,   9.3546, 276.2228,  31.185,   8.858,   0.4672, 470.0362,  76.9348,  16.9462,  24.6,1000.3,   0.0010,    4 - 3,    3
 2018-01-21, 00:35:44,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED533869,  38.4523,   9.3342, 276.8761,  31.285,   8.850,   0.4646, 459.7118,  77.1407,  16.9863,  24.6, 999.7,   0.0009,    4 - 3,    3
 2018-01-21, 00:36:21,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED533823,  38.4505,   9.3411, 276.2247,  31.222,   8.847,   0.4720, 693.8599,  76.9064,  16.9463,  24.5, 999.8,   0.0013,    4 - 3,    3
 2018-01-21, 00:36:52,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED533868,  38.5571,   9.3672, 278.5139,  31.372,   8.878,   0.4663,1480.5131,  77.1136,  17.0867,  24.6,1000.0,   0.0011,    5 - NG,    7
 2018-01-21, 00:37:45,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534065,  38.3907,   9.3233, 275.7457,  31.213,   8.834,   0.4671,1925.0352,  77.0395,  16.9169,  24.5, 999.7,   0.0011,    3 - 2,    2
 2018-01-21, 00:38:23,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534208,  38.3774,   9.3420, 275.4765,  31.183,   8.834,   0.4683, 467.0456,  76.8368,  16.9004,  24.4,1000.3,   0.0010,    3 - 2,    2
 2018-01-21, 00:39:03,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534224,  38.3825,   9.3425, 275.5331,  31.185,   8.835,   0.4685, 442.9469,  76.8382,  16.9039,  24.3, 999.8,   0.0010,    3 - 2,    2
 2018-01-21, 00:39:51,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534181,  38.3909,   9.3490, 275.9482,  31.189,   8.848,   0.4704, 476.7227,  76.8834,  16.9293,  24.3,1000.0,   0.0013,    4 - 3,    3
 2018-01-21, 00:41:42,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED533858,  38.3578,   9.3164, 275.6699,  31.206,   8.834,   0.4643,1226.5832,  77.1414,  16.9123,  24.1,1000.3,   0.0011,    3 - 2,    2
 2018-01-21, 00:42:14,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534220,  38.4134,   9.3449, 276.1762,  31.217,   8.847,   0.4684, 467.7227,  76.9360,  16.9433,  24.4,1000.1,   0.0010,    4 - 3,    3
 2018-01-21, 00:43:07,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534221,  38.4119,   9.3335, 276.0680,  31.223,   8.842,   0.4677,1149.2571,  77.0027,  16.9367,  24.3, 999.9,   0.0010,    4 - 3,    3
 2018-01-21, 00:43:39,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED533861,  38.3583,   9.3251, 275.6191,  31.190,   8.837,   0.4668, 898.9789,  77.0542,  16.9091,  24.2, 999.5,   0.0011,    3 - 2,    2
 2018-01-21, 00:44:10,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534214,  38.3245,   9.3458, 275.2342,  31.150,   8.836,   0.4666, 461.2671,  76.8439,  16.8855,  24.2, 999.7,   0.0010,    3 - 2,    2
 2018-01-21, 00:44:42,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534215,  38.3483,   9.3268, 275.6564,  31.170,   8.844,   0.4666, 523.7862,  77.0710,  16.9114,  24.3, 999.7,   0.0011,    4 - 3,    3
 2018-01-21, 00:47:24,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534213,  38.3399,   9.3287, 275.1194,  31.176,   8.825,   0.4663, 958.8132,  76.9214,  16.8785,  23.9, 999.8,   0.0010,    3 - 2,    2
 2018-01-21, 00:47:55,60p,engineer - ENGINEER,Ok,Ok,,  38.3863,   9.3151, 275.8641,  31.237,   8.831,   0.4643, 914.3304,  77.1496,  16.9242,  24.2, 999.7,   0.0013,    3 - 2,    2
 2018-01-21, 00:48:27,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534060,  38.3804,   9.3188, 275.9039,  31.235,   8.833,   0.4638, 825.0826,  77.1419,  16.9266,  24.1, 999.6,   0.0017,    3 - 2,    2
 2018-01-21, 00:49:12,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED533864,  38.3758,   9.3273, 275.7124,  31.192,   8.839,   0.4681, 812.4250,  77.0272,  16.9149,  24.0,1000.0,   0.0011,    3 - 2,    2
 2018-01-21, 00:49:43,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534059,  38.4764,   9.3324, 276.5443,  31.283,   8.840,   0.4677,1107.0810,  77.0155,  16.9659,  24.2, 999.8,   0.0011,    3 - 2,    2
 2018-01-21, 00:50:15,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534218,  38.3505,   9.3154, 275.2842,  31.171,   8.832,   0.4685, 619.3610,  77.0561,  16.8886,  24.1,1000.2,   0.0011,    3 - 2,    2
 2018-01-21, 00:51:02,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534217,  38.3530,   9.3393, 275.5563,  31.152,   8.846,   0.4692, 516.5150,  76.9304,  16.9053,  24.1,1000.1,   0.0012,    4 - 3,    3
 2018-01-21, 00:51:34,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED533862,  38.3690,   9.3349, 276.0690,  31.162,   8.859,   0.4691,1243.4097,  77.0771,  16.9367,  24.3, 999.9,   0.0012,    4 - 3,    3
 2018-01-21, 00:54:06,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED533860,  38.3680,   9.3243, 275.7162,  31.157,   8.849,   0.4706, 752.1059,  77.0689,  16.9151,  23.9, 999.4,   0.0009,    4 - 3,    3
 2018-01-21, 00:54:38,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534216,  38.3748,   9.3262, 275.4643,  31.173,   8.837,   0.4691, 649.1208,  76.9687,  16.8996,  24.0, 999.9,   0.0011,    3 - 2,    2
 2018-01-21, 00:55:10,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534057,  38.3645,   9.3143, 275.7834,  31.224,   8.832,   0.4643, 947.9297,  77.1770,  16.9192,  24.0,1000.1,   0.0011,    3 - 2,    2
 2018-01-21, 00:55:41,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED533849,  38.3616,   9.3478, 275.2483,  31.191,   8.825,   0.4668, 277.5431,  76.7574,  16.8864,  24.6, 999.9,   0.0013,    3 - 2,    2
 2018-01-21, 00:56:13,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534199,  38.3857,   9.3168, 275.7986,  31.189,   8.843,   0.4683, 702.4092,  77.1184,  16.9202,  24.5, 999.6,   0.0009,    4 - 3,    3
 2018-01-21, 00:56:44,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534204,  38.3800,   9.3479, 276.0709,  31.191,   8.851,   0.4676, 552.8199,  76.9492,  16.9369,  24.6, 999.5,   0.0010,    4 - 3,    3
 2018-01-21, 00:57:16,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED533848,  38.3436,   9.3389, 274.8748,  31.125,   8.831,   0.4717, 776.2193,  76.7618,  16.8635,  24.5, 999.7,   0.0012,    3 - 2,    2
 2018-01-21, 00:57:47,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534232,  38.3923,   9.3451, 275.9445,  31.210,   8.842,   0.4676, 349.9847,  76.9119,  16.9291,  24.5, 999.3,   0.0012,    4 - 3,    3
 2018-01-21, 00:58:19,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED533878,  38.3450,   9.3354, 275.1758,  31.143,   8.836,   0.4688, 613.1692,  76.8719,  16.8819,  24.5, 999.8,   0.0011,    3 - 2,    2
 2018-01-21, 00:58:50,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534072,  38.3580,   9.3435, 275.5461,  31.178,   8.838,   0.4676, 204.5191,  76.8823,  16.9047,  24.5, 999.8,   0.0014,    3 - 2,    2
 2018-01-21, 00:59:45,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED533880,  38.3271,   9.3231, 274.9625,  31.150,   8.827,   0.4669,1214.9480,  76.9500,  16.8689,  24.5, 999.9,   0.0010,    3 - 2,    2
 2018-01-21, 01:00:28,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534233,  38.3960,   9.3373, 276.2876,  31.217,   8.850,   0.4668, 727.4208,  77.0646,  16.9502,  24.5, 999.4,   0.0012,    4 - 3,    3
 2018-01-21, 01:01:02,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534073,  38.4071,   9.3307, 275.5982,  31.190,   8.836,   0.4710, 684.3089,  76.9039,  16.9079,  24.5,1000.7,   0.0013,    3 - 2,    2
 2018-01-21, 01:01:34,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED533879,  38.3370,   9.3124, 274.9559,  31.166,   8.822,   0.4666, 435.0452,  77.0160,  16.8685,  24.4,1000.1,   0.0012,    3 - 2,    2
 2018-01-21, 01:02:37,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED533875,  38.3517,   9.3227, 275.2031,  31.150,   8.835,   0.4701, 575.3112,  76.9708,  16.8836,  24.4,1000.7,   0.0013,    3 - 2,    2
 2018-01-21, 01:03:10,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED533877,  38.3502,   9.3288, 275.3281,  31.154,   8.838,   0.4683, 701.6788,  76.9589,  16.8913,  24.4, 999.5,   0.0010,    3 - 2,    2
 2018-01-21, 01:03:46,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED533844,  38.3441,   9.3281, 275.1861,  31.161,   8.831,   0.4682, 693.7536,  76.9367,  16.8826,  24.5,1000.4,   0.0010,    3 - 2,    2
 2018-01-21, 01:04:22,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534068,  38.3678,   9.3375, 276.0560,  31.188,   8.851,   0.4668, 587.3646,  77.0551,  16.9360,  24.3,1000.1,   0.0010,    4 - 3,    3
 2018-01-21, 01:04:55,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534230,  38.4029,   9.3276, 276.1023,  31.221,   8.844,   0.4671, 461.4431,  77.0787,  16.9388,  24.3, 999.9,   0.0011,    4 - 3,    3
 2018-01-21, 01:05:53,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534219,  38.3786,   9.3227, 275.6701,  31.201,   8.835,   0.4672, 684.4532,  77.0480,  16.9123,  24.3, 999.9,   0.0011,    3 - 2,    2
 2018-01-21, 01:06:29,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534227,  38.3466,   9.3313, 275.6383,  31.160,   8.846,   0.4663, 763.6876,  77.0316,  16.9103,  24.3, 999.7,   0.0013,    4 - 3,    3
 2018-01-21, 01:07:04,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534070,  38.3236,   9.3240, 275.2577,  31.154,   8.836,   0.4656,1070.9920,  77.0322,  16.8870,  24.2,1000.3,   0.0012,    3 - 2,    2
 2018-01-21, 01:07:35,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534229,  38.3593,   9.3303, 275.8033,  31.162,   8.851,   0.4688, 597.9837,  77.0608,  16.9204,  24.3,1000.0,   0.0013,    4 - 3,    3
 2018-01-21, 01:08:07,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED533874,  38.3589,   9.3247, 275.4075,  31.186,   8.831,   0.4667,1027.4798,  76.9968,  16.8962,  24.3,1000.4,   0.0013,    3 - 2,    2
 2018-01-21, 01:11:15,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED533870,  38.3797,   9.3222, 275.5549,  31.202,   8.831,   0.4679,1059.8761,  77.0170,  16.9052,  24.0, 999.5,   0.0009,    3 - 2,    2
 2018-01-21, 01:11:46,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED533873,  38.3366,   9.3129, 275.1450,  31.173,   8.826,   0.4658, 743.4859,  77.0663,  16.8801,  23.6, 999.6,   0.0011,    3 - 2,    2
 2018-01-21, 01:12:18,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534069,  38.3229,   9.3337, 275.0877,  31.119,   8.840,   0.4701, 532.6938,  76.9061,  16.8765,  24.0, 999.8,   0.0010,    3 - 2,    2
 2018-01-21, 01:12:49,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534067,  38.3552,   9.3375, 275.5095,  31.133,   8.849,   0.4712, 625.5315,  76.9277,  16.9024,  24.1, 999.9,   0.0010,    4 - 3,    3
 2018-01-21, 01:13:21,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534062,  38.3861,   9.3273, 275.4986,  31.188,   8.833,   0.4695, 932.5908,  76.9466,  16.9018,  24.0, 999.9,   0.0012,    3 - 2,    2
 2018-01-21, 01:13:52,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534081,  38.3561,   9.3190, 275.2902,  31.161,   8.834,   0.4689, 791.4502,  77.0169,  16.8890,  25.2, 999.7,   0.0013,    3 - 2,    2
 2018-01-21, 01:14:24,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED533846,  38.3779,   9.3286, 275.2888,  31.175,   8.831,   0.4699, 834.7765,  76.8941,  16.8889,  25.2,1000.3,   0.0012,    3 - 2,    2
 2018-01-21, 01:14:55,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED533889,  38.3440,   9.3164, 275.4788,  31.167,   8.839,   0.4685, 763.9815,  77.1160,  16.9005,  24.8, 999.9,   0.0011,    3 - 2,    2
 2018-01-21, 01:15:27,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534084,  38.3439,   9.3325, 275.6691,  31.170,   8.844,   0.4663,1256.7922,  77.0358,  16.9122,  24.8, 999.7,   0.0012,    4 - 3,    3
 2018-01-21, 01:15:58,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534053,  38.3949,   9.3328, 275.8143,  31.189,   8.843,   0.4697, 603.6552,  76.9721,  16.9211,  24.7, 999.8,   0.0014,    4 - 3,    3
 2018-01-21, 01:16:30,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534076,  38.3703,   9.3398, 275.7029,  31.165,   8.847,   0.4704, 443.8975,  76.9322,  16.9143,  24.8,1000.0,   0.0009,    4 - 3,    3
 2018-01-21, 01:17:01,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534238,  38.3506,   9.3765, 274.7878,  31.139,   8.825,   0.4710, 156.4596,  76.4164,  16.8581,  24.7, 999.3,   0.0014,    3 - 2,    2
 2018-01-21, 01:17:33,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED533882,  38.3115,   9.3304, 274.7852,  31.121,   8.830,   0.4680,1478.4495,  76.8709,  16.8580,  24.7,1000.2,   0.0013,    3 - 2,    2
 2018-01-21, 01:18:05,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534235,  38.3320,   9.3462, 275.3321,  31.130,   8.845,   0.4691, 474.4198,  76.8529,  16.8915,  24.7, 999.9,   0.0011,    4 - 3,    3
 2018-01-21, 01:18:36,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534078,  38.3770,   9.3268, 275.5551,  31.200,   8.832,   0.4680, 418.8929,  76.9849,  16.9052,  24.7, 999.6,   0.0011,    3 - 2,    2
